FID,District,County,Route,Direction,Accidents,Lanes,Access1,Limited,AccessNum,AccessType,RoadWidth,LaneWidth,InnerShoulderWidth,InnerShoulderTreatedWidth,OuterShoulderWidth,OuterShoulderTreatedWidth,DesignSpeedLimit,InnerMedianWidth,Terrain,Barrier,Surface
37,7,LA,5,S,0,1,1,0,2,mix,69,17.3,0,0,0,0,70,6,Flat,Concrete Barrier,Bridge Deck
38,7,LA,5,S,1,1,2,1,1,buffer,72,12,8,8,10,10,70,22,Flat,Concrete Barrier,Concrete
39,7,LA,5,S,7,1,2,1,1,buffer,72,12,10,10,10,10,70,15,Flat,Concrete Barrier,Concrete
40,7,LA,5,S,13,1,1,0,2,mix,58,14.5,10,10,10,10,70,22,Flat,Concrete Barrier,Bridge Deck
41,7,LA,5,S,16,1,2,1,1,buffer,69,17.3,0,0,0,0,70,6,Flat,Concrete Barrier,Bridge Deck
42,7,LA,5,S,75,1,2,1,2,mix,48,12,8,8,10,10,70,30,Flat,Concrete Barrier,Concrete
43,7,LA,5,S,0,1,1,0,1,continuous,36,12,5,5,10,10,70,99,Flat,Metal Beam Barrier,Concrete
44,7,LA,5,S,0,1,2,1,2,mix,90,15,0,0,0,0,70,30,Flat,Bridge barrier,Bridge Deck
45,7,LA,5,S,0,1,2,1,2,mix,72,12,10,10,10,10,70,15,Flat,Concrete Barrier,Concrete
46,7,LA,5,S,0,1,2,1,2,mix,48,12,8,8,10,10,70,30,Flat,Concrete Barrier,Concrete
47,7,LA,5,S,0,1,2,1,1,buffer,90,15,0,0,0,0,70,30,Flat,Bridge barrier,Bridge Deck
48,7,LA,5,S,3,1,2,1,1,buffer,84,12,10,10,10,10,70,15,Flat,Concrete Barrier,Concrete
49,7,LA,5,S,9,1,1,0,1,continuous,72,12,10,10,10,10,70,22,Flat,Concrete Barrier,Concrete
50,7,LA,5,S,39,1,1,0,2,mix,84,12,10,10,10,10,70,15,Flat,Concrete Barrier,Concrete
51,7,LA,5,S,1,1,2,1,1,buffer,72,12,10,10,10,10,70,15,Flat,Concrete Barrier,Concrete
52,7,LA,5,S,5,1,2,1,1,buffer,48,12,8,8,10,10,70,30,Flat,Concrete Barrier,Concrete
53,7,LA,5,S,0,1,1,0,1,continuous,72,12,10,10,10,10,70,15,Flat,Concrete Barrier,Concrete
54,7,LA,5,S,24,1,2,1,1,buffer,58,14.5,10,10,10,10,70,22,Flat,Concrete Barrier,Bridge Deck
55,7,LA,5,S,0,1,2,1,1,buffer,72,12,8,8,10,10,70,22,Flat,Concrete Barrier,Concrete
56,7,LA,5,S,5,1,1,0,1,continuous,58,14.5,10,10,10,10,70,22,Flat,Concrete Barrier,Bridge Deck
57,7,LA,5,S,28,1,2,1,1,buffer,72,12,8,8,10,10,70,22,Flat,Concrete Barrier,Concrete
58,7,LA,5,S,53,1,2,1,2,mix,72,12,8,8,10,10,70,22,Flat,Concrete Barrier,Concrete
59,7,LA,5,S,0,1,2,1,2,mix,84,12,10,10,10,10,70,15,Flat,Concrete Barrier,Concrete
60,7,LA,5,S,0,1,2,1,1,buffer,69,17.3,0,0,0,0,70,6,Flat,Concrete Barrier,Bridge Deck
61,7,LA,5,S,32,1,2,1,1,buffer,72,12,10,10,10,10,70,15,Flat,Concrete Barrier,Concrete
62,7,LA,5,S,32,1,2,1,1,buffer,72,12,10,10,10,10,70,15,Flat,Concrete Barrier,Concrete
63,7,LA,5,S,0,1,1,0,1,continuous,48,12,8,8,10,10,70,30,Flat,Concrete Barrier,Concrete
64,7,LA,5,S,5,1,2,1,1,buffer,69,17.3,0,0,0,0,70,6,Flat,Concrete Barrier,Bridge Deck
65,7,LA,5,S,0,1,2,1,2,mix,84,12,10,10,10,10,70,15,Flat,Concrete Barrier,Concrete
66,7,LA,5,S,4,1,2,1,1,buffer,72,12,10,10,10,10,70,15,Flat,Concrete Barrier,Concrete
67,7,LA,5,S,19,1,2,1,2,mix,72,12,10,10,10,10,70,15,Flat,Concrete Barrier,Concrete
68,7,LA,5,S,0,1,2,1,2,mix,69,17.3,0,0,0,0,70,6,Flat,Concrete Barrier,Bridge Deck
69,7,LA,5,S,0,1,1,0,2,mix,72,12,8,8,10,10,70,22,Flat,Concrete Barrier,Concrete
70,7,LA,5,S,0,1,1,0,1,continuous,36,12,5,5,10,10,70,99,Flat,Metal Beam Barrier,Concrete
71,7,LA,10,E,26,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
72,7,LA,10,E,34,1,2,1,3,mix,56,11.2,7,7,8,8,70,12,Flat,Concrete Barrier,Bridge Deck
73,7,LA,10,E,0,1,1,0,2,mix,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
74,7,LA,10,E,4,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Bridge Deck
75,7,LA,10,E,0,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
76,7,LA,10,E,0,1,1,0,2,mix,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Bridge Deck
77,7,LA,10,E,41,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
78,7,LA,10,E,7,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Bridge Deck
79,7,LA,10,E,30,1,2,1,2,mix,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Bridge Deck
80,7,LA,10,E,27,1,2,1,1,buffer,56,11.2,7,7,8,8,70,12,Flat,Concrete Barrier,Bridge Deck
81,7,LA,10,E,2,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Bridge Deck
82,7,LA,10,E,4,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
83,7,LA,10,E,26,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
84,7,LA,10,E,41,1,2,1,1,buffer,56,11.2,3,3,0,0,70,8,Flat,Metal Beam Barrier,Bridge Deck
85,7,LA,10,E,57,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Bridge Deck
86,7,LA,10,E,33,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Bridge Deck
87,7,LA,10,E,0,1,2,1,2,mix,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
88,7,LA,10,E,37,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Bridge Deck
89,7,LA,10,E,0,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
90,7,LA,10,E,0,1,2,1,1,buffer,56,11.2,7,7,8,8,70,12,Flat,Concrete Barrier,Bridge Deck
91,7,LA,10,E,1,1,2,1,2,mix,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Bridge Deck
92,7,LA,10,E,4,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Bridge Deck
93,7,LA,10,W,7,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Bridge Deck
94,7,LA,10,W,1,1,2,1,1,buffer,60,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
95,7,LA,10,W,9,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Bridge Deck
96,7,LA,10,W,17,1,2,1,1,buffer,48,12,3,3,8,8,70,8,Flat,Metal Beam Barrier,Bridge Deck
97,7,LA,10,W,35,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
98,7,LA,10,W,2,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Bridge Deck
99,7,LA,10,W,25,1,1,0,2,mix,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Bridge Deck
100,7,LA,10,W,81,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Concrete
101,7,LA,10,W,0,1,1,0,2,mix,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
102,7,LA,10,W,5,1,2,1,1,buffer,60,12,7,7,10,10,70,16,Flat,Concrete Barrier,Concrete
103,7,LA,10,W,1,1,1,0,2,mix,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Bridge Deck
104,7,LA,10,W,0,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
105,7,LA,10,W,34,1,2,1,2,mix,60,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
106,7,LA,10,W,2,1,2,1,1,buffer,48,12,3,3,8,8,70,8,Flat,Metal Beam Barrier,Bridge Deck
107,7,LA,10,W,0,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
108,7,LA,10,W,0,1,2,1,2,mix,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Concrete
109,7,LA,10,W,53,1,2,1,1,buffer,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Bridge Deck
110,7,LA,10,W,1,1,2,1,2,mix,48,12,7,7,10,10,70,16,Flat,Metal Beam Barrier,Concrete
111,7,LA,10,W,0,1,2,1,2,mix,48,12,7,7,10,10,70,16,Flat,Concrete Barrier,Bridge Deck
112,7,LA,57,N,1,1,2,1,1,buffer,58,11.6,3,3,10,10,70,22,Flat,Concrete Barrier,Concrete
113,7,LA,57,N,40,1,2,1,3,mix,58,11.6,1,1,10,10,70,6,Flat,Concrete Barrier,Concrete
114,7,LA,57,N,0,1,2,1,2,mix,60,12,2,2,10,10,60,6,Flat,Concrete Barrier,Concrete
115,7,LA,57,N,2,1,2,1,2,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
116,7,LA,57,N,0,1,2,1,1,buffer,72,12,2,2,10,10,60,6,Flat,Concrete Barrier,Bridge Deck
117,7,LA,57,N,62,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
118,7,LA,57,N,13,1,2,1,1,buffer,72,12,2,2,10,10,60,6,Flat,Concrete Barrier,Bridge Deck
119,7,LA,57,N,5,1,1,0,2,mix,60,12,2,2,10,10,60,6,Flat,Concrete Barrier,Concrete
120,7,LA,57,N,2,1,2,1,1,buffer,58,11.6,3,3,10,10,70,10,Flat,Concrete Barrier,Concrete
121,7,LA,57,N,4,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
122,7,LA,57,N,5,1,2,1,1,buffer,60,12,2,2,10,10,60,6,Flat,Concrete Barrier,Bridge Deck
123,7,LA,57,N,0,1,2,1,1,buffer,58,11.6,1,1,10,10,70,6,Flat,Concrete Barrier,Concrete
124,7,LA,57,S,22,1,2,1,1,buffer,60,12,2,2,10,10,60,6,Flat,Concrete Barrier,Bridge Deck
125,7,LA,57,S,1,1,2,1,1,buffer,70,11.7,5,5,10,10,70,10,Flat,Concrete Barrier,Concrete
126,7,LA,57,S,15,1,2,1,2,mix,60,12,2,2,10,10,60,6,Flat,Concrete Barrier,Concrete
127,7,LA,57,S,0,1,2,1,3,mix,70,11.7,17,17,10,10,70,22,Flat,Concrete Barrier,Concrete
128,7,LA,57,S,2,1,1,0,2,mix,60,12,2,2,10,10,60,6,Flat,Concrete Barrier,Concrete
129,7,LA,57,S,3,1,2,1,1,buffer,60,12,2,2,10,10,60,6,Flat,Concrete Barrier,Bridge Deck
130,7,LA,57,S,0,1,2,1,2,mix,70,11.7,5,5,10,10,70,10,Flat,Concrete Barrier,Concrete
131,7,LA,57,S,0,1,2,1,1,buffer,60,12,2,2,10,10,60,6,Flat,Concrete Barrier,Concrete
132,7,LA,57,S,23,1,2,1,1,buffer,70,11.7,17,17,10,10,70,22,Flat,Concrete Barrier,Concrete
133,7,LA,57,S,27,1,1,0,2,mix,70,11.7,5,5,10,10,70,10,Flat,Concrete Barrier,Concrete
134,7,LA,57,S,0,1,2,1,1,buffer,60,12,2,2,10,10,60,6,Flat,Concrete Barrier,Concrete
135,7,LA,60,E,1,1,1,0,2,mix,60,12,8,8,10,10,70,22,Rolling,Concrete Barrier,Concrete
136,7,LA,60,E,0,1,2,1,1,buffer,55,11,4,4,8,8,70,15,Rolling,Concrete Barrier,Bridge Deck
137,7,LA,60,E,0,1,2,1,2,mix,48,12,0,0,8,8,70,22,Rolling,Concrete Barrier,Concrete
138,7,LA,60,E,2,1,2,1,1,buffer,48,12,0,0,8,8,70,22,Rolling,Concrete Barrier,Concrete
139,7,LA,60,E,28,1,2,1,1,buffer,62,12.4,8,8,10,10,70,18,Flat,Concrete Barrier,Base & Surface
140,7,LA,60,E,3,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
141,7,LA,60,E,0,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
142,7,LA,60,E,0,1,2,1,1,buffer,48,12,0,0,8,8,70,22,Rolling,Concrete Barrier,Concrete
143,7,LA,60,E,0,2,2,1,2,mix,78,11.1,2,2,8,8,70,6,Rolling,Concrete Barrier,Concrete
144,7,LA,60,E,1,1,2,1,1,buffer,55,11,4,4,8,8,70,15,Rolling,Concrete Barrier,Concrete
145,7,LA,60,E,14,1,2,1,3,mix,48,12,14,14,8,8,70,9,Rolling,Concrete Barrier,Concrete
146,7,LA,60,E,0,1,2,1,2,mix,56,11.2,2,2,10,10,70,6,Rolling,Concrete Barrier,Base & Surface
147,7,LA,60,E,0,1,2,1,1,buffer,68,11.3,2,2,10,10,70,18,Rolling,Concrete Barrier,Base & Surface
148,7,LA,60,E,1,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
149,7,LA,60,E,33,1,1,0,2,mix,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
150,7,LA,60,E,0,1,2,1,1,buffer,55,11,4,4,8,8,70,15,Rolling,Concrete Barrier,Concrete
151,7,LA,60,E,0,1,2,1,2,mix,68,11.3,2,2,10,10,70,18,Rolling,Concrete Barrier,Base & Surface
152,7,LA,60,E,0,1,2,1,1,buffer,56,11.2,2,2,10,10,70,6,Rolling,Concrete Barrier,Base & Surface
153,7,LA,60,E,1,1,2,1,1,buffer,48,12,0,0,8,8,70,22,Rolling,Concrete Barrier,Concrete
154,7,LA,60,E,10,1,2,1,1,buffer,62,12.4,8,8,10,10,70,18,Flat,Concrete Barrier,Bridge Deck
155,7,LA,60,E,0,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
156,7,LA,60,E,1,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
157,7,LA,60,E,5,1,2,1,2,mix,68,11.3,2,2,10,10,70,18,Rolling,Concrete Barrier,Base & Surface
158,7,LA,60,E,8,1,2,1,1,buffer,78,11.1,2,2,8,8,70,6,Rolling,Concrete Barrier,Concrete
159,7,LA,60,E,14,1,2,1,2,mix,36,12,5,5,10,10,70,70,Flat,Guardrail,Concrete
160,7,LA,60,E,36,1,2,1,1,buffer,74,12.3,8,8,10,10,70,18,Rolling,Concrete Barrier,Base & Surface
161,7,LA,60,E,5,1,2,1,1,buffer,78,11.1,2,2,8,8,70,6,Rolling,Concrete Barrier,Concrete
162,7,LA,60,E,20,1,2,1,1,buffer,62,12.4,8,8,10,10,70,18,Flat,Concrete Barrier,Bridge Deck
163,7,LA,60,E,0,1,2,1,2,mix,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
164,7,LA,60,E,0,1,2,1,1,buffer,48,12,0,0,8,8,70,22,Rolling,Concrete Barrier,Concrete
165,7,LA,60,E,0,1,2,1,1,buffer,55,11,4,4,8,8,70,15,Rolling,Concrete Barrier,Concrete
166,7,LA,60,E,3,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
167,7,LA,60,E,27,1,2,1,1,buffer,78,11.1,2,2,8,8,70,6,Rolling,Concrete Barrier,Concrete
168,7,LA,60,E,0,1,2,1,1,buffer,48,12,0,0,8,8,70,22,Rolling,Concrete Barrier,Concrete
169,7,LA,60,E,3,1,2,1,1,buffer,60,12,8,8,10,10,70,22,Rolling,Concrete Barrier,Concrete
170,7,LA,60,E,3,1,2,1,1,buffer,78,11.1,2,2,8,8,70,6,Rolling,Concrete Barrier,Concrete
171,7,LA,60,E,81,1,2,1,1,buffer,56,11.2,2,2,10,10,70,6,Rolling,Concrete Barrier,Base & Surface
172,7,LA,60,E,0,1,2,1,1,buffer,48,12,0,0,8,8,70,22,Rolling,Concrete Barrier,Concrete
173,7,LA,60,E,0,1,2,1,1,buffer,62,12.4,8,8,10,10,70,18,Rolling,Concrete Barrier,Base & Surface
174,7,LA,60,E,4,1,2,1,1,buffer,48,12,0,0,8,8,70,22,Rolling,Concrete Barrier,Concrete
175,7,LA,60,E,71,1,2,1,1,buffer,48,12,0,0,8,8,70,22,Rolling,Concrete Barrier,Concrete
176,7,LA,60,E,0,1,2,1,1,buffer,48,12,0,0,8,8,70,22,Rolling,Concrete Barrier,Concrete
177,7,LA,60,E,8,1,2,1,2,mix,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
178,7,LA,60,E,16,1,2,1,1,buffer,68,11.3,2,2,10,10,70,18,Rolling,Concrete Barrier,Base & Surface
179,7,LA,60,E,39,1,1,0,2,mix,55,11,4,4,8,8,70,15,Rolling,Concrete Barrier,Bridge Deck
180,7,LA,60,E,58,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
181,7,LA,60,E,0,1,1,0,2,mix,55,11,4,4,8,8,70,15,Rolling,Concrete Barrier,Bridge Deck
182,7,LA,60,E,0,1,2,1,2,mix,56,11.2,2,2,10,10,70,6,Rolling,Concrete Barrier,Base & Surface
183,7,LA,60,E,0,1,2,1,1,buffer,62,12.4,8,8,10,10,70,18,Flat,Concrete Barrier,Bridge Deck
184,7,LA,60,E,41,1,1,0,2,mix,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
185,7,LA,60,E,52,1,2,1,1,buffer,74,12.3,8,8,10,10,70,18,Rolling,Concrete Barrier,Base & Surface
186,7,LA,60,E,0,1,2,1,1,buffer,48,12,0,0,8,8,70,22,Rolling,Concrete Barrier,Concrete
187,7,LA,60,E,0,1,1,0,2,mix,48,12,0,0,8,8,70,22,Rolling,Concrete Barrier,Concrete
188,7,LA,60,E,34,1,2,1,2,mix,60,12,8,8,10,10,70,22,Rolling,Concrete Barrier,Concrete
189,7,LA,60,E,38,1,2,1,2,mix,48,12,14,14,8,8,70,9,Rolling,Concrete Barrier,Concrete
190,7,LA,60,E,0,1,2,1,1,buffer,55,11,4,4,8,8,70,15,Rolling,Concrete Barrier,Concrete
191,7,LA,60,E,0,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
192,7,LA,60,E,33,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
193,7,LA,60,E,0,1,2,1,1,buffer,68,11.3,2,2,10,10,70,18,Rolling,Concrete Barrier,Base & Surface
194,7,LA,60,E,54,1,2,1,2,mix,78,11.1,2,2,8,8,70,6,Rolling,Concrete Barrier,Concrete
195,7,LA,60,W,0,1,1,0,2,mix,78,11.1,2,2,8,8,70,6,Rolling,Concrete Barrier,Concrete
196,7,LA,60,W,0,1,2,1,1,buffer,56,11.2,2,2,10,10,70,18,Rolling,Concrete Barrier,Base & Surface
197,7,LA,60,W,10,1,2,1,1,buffer,62,12.4,8,8,10,10,70,18,Rolling,Concrete Barrier,Base & Surface
198,7,LA,60,W,0,1,1,0,2,mix,48,12,8,8,8,8,70,15,Rolling,Concrete Barrier,Concrete
199,7,LA,60,W,0,1,1,0,2,mix,56,11.2,2,2,10,10,70,18,Rolling,Concrete Barrier,Base & Surface
200,7,LA,60,W,0,1,2,1,1,buffer,56,11.2,2,2,10,10,70,6,Rolling,Concrete Barrier,Base & Surface
201,7,LA,60,W,3,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
202,7,LA,60,W,0,1,2,1,3,mix,56,11.2,2,2,10,10,70,6,Rolling,Concrete Barrier,Base & Surface
203,7,LA,60,W,1,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
204,7,LA,60,W,18,1,2,1,1,buffer,62,12.4,8,8,10,10,70,18,Flat,Concrete Barrier,Bridge Deck
205,7,LA,60,W,0,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
206,7,LA,60,W,1,1,1,0,2,mix,48,12,8,8,8,8,70,15,Rolling,Concrete Barrier,Concrete
207,7,LA,60,W,1,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
208,7,LA,60,W,25,1,2,1,2,mix,62,12.4,8,8,10,10,70,18,Flat,Concrete Barrier,Bridge Deck
209,7,LA,60,W,33,1,1,0,2,mix,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
210,7,LA,60,W,86,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
211,7,LA,60,W,88,1,2,1,1,buffer,56,11.2,2,2,10,10,70,6,Rolling,Concrete Barrier,Base & Surface
212,7,LA,60,W,31,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
213,7,LA,60,W,32,1,2,1,3,mix,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
214,7,LA,60,W,0,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
215,7,LA,60,W,0,1,2,1,1,buffer,56,11.2,2,2,10,10,70,18,Rolling,Concrete Barrier,Base & Surface
216,7,LA,60,W,2,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
217,7,LA,60,W,2,1,2,1,1,buffer,62,12.4,8,8,10,10,70,18,Rolling,Concrete Barrier,Base & Surface
218,7,LA,60,W,4,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
219,7,LA,60,W,48,1,2,1,1,buffer,56,11.2,5,5,8,8,70,6,Rolling,Concrete Barrier,Concrete
220,7,LA,60,W,0,1,1,0,2,mix,56,11.2,5,5,8,8,70,6,Rolling,Concrete Barrier,Concrete
221,7,LA,60,W,0,1,2,1,1,buffer,56,11.2,2,2,10,10,70,6,Rolling,Concrete Barrier,Base & Surface
222,7,LA,60,W,1,1,1,0,2,mix,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
223,7,LA,60,W,3,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
224,7,LA,60,W,0,1,1,0,2,mix,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
225,7,LA,60,W,0,1,1,0,2,mix,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
226,7,LA,60,W,2,1,2,1,1,buffer,48,12,8,8,8,8,70,22,Rolling,Concrete Barrier,Concrete
